,kind,videoId,publishedAt,channelId,title,description,thumbnail,channelTitle,liveBroadcastContent,publishTime
0,youtube#video,5fiT6c0MQ58,2021-01-07T17:59:50Z,UCeY0bbntWzzVIaj2z3QigXg,Trump Encourages Those At His Rally To March To The Capitol | NBC News NOW,"President Trump encourages those who attended a rally in Washington, D.C. to march to the Capitol and protest Congress ...",https://i.ytimg.com/vi/5fiT6c0MQ58/default.jpg,NBC News,none,2021-01-07T17:59:50Z
1,youtube#video,_HqXB0JxnRw,2021-01-07T15:21:51Z,UCUmEPYxmnyQDeRUcFkslmQw,Futuro de Donald Trump em aberto,Presidente perde alguns dos principais aliados LEIA MAIS ...,https://i.ytimg.com/vi/_HqXB0JxnRw/default.jpg,Euronews em Português,none,2021-01-07T15:21:51Z
2,youtube#video,T7G7qI86QmU,2021-01-07T14:11:00Z,UCrp_UI8XtuYfpiqluWLD7Lw,Twitter and Facebook lock President Donald Trump&#39;s accounts after Capitol unrest,"Social media platforms are taking unprecedented action on President Donald Trump's accounts, but some are also criticizing the ...",https://i.ytimg.com/vi/T7G7qI86QmU/default.jpg,CNBC Television,none,2021-01-07T14:11:00Z
3,youtube#video,20sFu3bA1G8,2021-01-07T05:15:04Z,UC8-Th83bH_thdKZDJCrn88g,Dan Rather Calls President Donald Trump a “Poor Loser”,Dan Rather explains the election certification process and Trump's motives and discusses the challenges ahead of Joe Biden.,https://i.ytimg.com/vi/20sFu3bA1G8/default.jpg,The Tonight Show Starring Jimmy Fallon,none,2021-01-07T05:15:04Z
4,youtube#video,9O0GqLE2eWI,2021-01-07T18:19:34Z,UC_gUM8rL-Lrg6O3adPW9K1g,Gravitas: Donald Trump attempts a coup,"Donald Trump attempted a coup, violated his oath of office and committed sedition. WION'S Palki tells you why Trump is the ...",https://i.ytimg.com/vi/9O0GqLE2eWI/default.jpg,WION,none,2021-01-07T18:19:34Z
5,youtube#video,aSSGqrBVjSA,2021-01-07T20:22:11Z,UCTrQ7HXWRRxr7OsOtodr2_w,What next for Donald Trump?,"For his entire presidency, Donald Trump has been accused of harnessing the hate that was unleashed on Capitol Hill. But will that ...",https://i.ytimg.com/vi/aSSGqrBVjSA/default.jpg,Channel 4 News,none,2021-01-07T20:22:11Z
6,youtube#video,yzRK5oQeMgE,2021-01-07T00:10:10Z,UCCCPCZNChQdGa9EkATeye4g,RETOUR EN IMAGES : le Capitole envahi par des partisans de Donald Trump,"Des milliers de manifestants favorables au président Donald Trump ont envahi mercredi la colline du #Capitole à #Washington, ...",https://i.ytimg.com/vi/yzRK5oQeMgE/default.jpg,FRANCE 24,none,2021-01-07T00:10:10Z
7,youtube#video,yzsuFyaVHXk,2021-01-07T16:25:11Z,UCrp_UI8XtuYfpiqluWLD7Lw,"Facebook, Instagram ban Donald Trump indefinitely after supporters storm U.S. Capitol",Facebook CEO Mark Zuckerberg has announced that the social media platform will suspend President Trump's account ...,https://i.ytimg.com/vi/yzsuFyaVHXk/default.jpg,CNBC Television,none,2021-01-07T16:25:11Z
8,youtube#video,d2kwPzdvcag,2021-01-07T16:23:11Z,UCVFbXI6Gu8U2f9Gjtxw4A-Q,Invasão do Capitólio: Prisão de Donald Trump seria exemplo para o mundo civilizado | Tales Faria,"""A maior democracia do mundo poderia dar o exemplo aos demais países, prendendo a autoridade responsável pelo ato que ...",https://i.ytimg.com/vi/d2kwPzdvcag/default.jpg,UOL,none,2021-01-07T16:23:11Z
9,youtube#video,YdlpWNgYpG0,2021-01-07T01:41:13Z,UCrp_UI8XtuYfpiqluWLD7Lw,Sen. Chuck Schumer: President Donald Trump&#39;s lies incited this mob,Senate Minority Leader Chuck Schumer (D-N.Y.) comments on today's siege of the United States Capitol and the stain it will leave ...,https://i.ytimg.com/vi/YdlpWNgYpG0/default.jpg,CNBC Television,none,2021-01-07T01:41:13Z
10,youtube#video,Q2OtBC9fi5A,2021-01-07T00:10:41Z,UCrp_UI8XtuYfpiqluWLD7Lw,Donald Trump proving to be a bigger loser than just losing the election: Fmr. chief of staff,"Andy Card, former George W. Bush White House chief of staff, says he's hoping the members of Congress looking to challenge ...",https://i.ytimg.com/vi/Q2OtBC9fi5A/default.jpg,CNBC Television,none,2021-01-07T00:10:41Z
11,youtube#video,UrdAa0ordZo,2021-01-07T02:43:24Z,UCrp_UI8XtuYfpiqluWLD7Lw,Facebook blocks President Donald Trump from posting over next 24 hours,CNBC's Shepard Smith reports that social media sites Facebook and Twitter have banned President Trump from posting for the ...,https://i.ytimg.com/vi/UrdAa0ordZo/default.jpg,CNBC Television,none,2021-01-07T02:43:24Z
12,youtube#video,r7OclXv-dp4,2021-01-07T00:30:22Z,UCrp_UI8XtuYfpiqluWLD7Lw,Twitter blocks President Donald Trump from tweeting for the next 12 hours,"If President Trump does not remove tweets that have been tagged as inciting violence, Twitter will continue to block his account ...",https://i.ytimg.com/vi/r7OclXv-dp4/default.jpg,CNBC Television,none,2021-01-07T00:30:22Z
13,youtube#video,JwHAwSOXtUQ,2021-01-07T01:19:08Z,UCrp_UI8XtuYfpiqluWLD7Lw,President Donald Trump sparked the terrorist attack on the Capitol: NBC presidential historian,NBC's presidential historian Michael Beschloss says the President Trump sparked the terrorist attack in the Capitol. For access to ...,https://i.ytimg.com/vi/JwHAwSOXtUQ/default.jpg,CNBC Television,none,2021-01-07T01:19:08Z
14,youtube#video,sbwflP1GfhE,2021-01-07T09:31:20Z,UCUSrVHoJrz68z3Q5qHZZC4w,Oud-presidenten halen uit naar Donald Trump: &#39;Dit is hoe het gaat in een bananenrepubliek&#39;,"Voormalige Amerikaanse presidenten halen hard uit naar Donald Trump na de bestorming van het Capitool. ""Dit is hoe ...",https://i.ytimg.com/vi/sbwflP1GfhE/default.jpg,WNL,none,2021-01-07T09:31:20Z
15,youtube#video,SiW1MveVX9c,2021-01-07T17:51:47Z,UCm7lHFkt2yB_WzL67aruVBQ,"Facebook, Instagram ban Donald Trump ‘indefinitely’ after US Capitol breach",Facebook founder Mark Zuckerberg said on Thursday that President Donald Trump's accounts on its popular social media ...,https://i.ytimg.com/vi/SiW1MveVX9c/default.jpg,Hindustan Times,none,2021-01-07T17:51:47Z
